AreaManagerId,SellingPointId,StartDateSellingPoint,EndDateSellingPoint,SellingPointDesc,Location
202,26031,20190116,,,"(51.985272263, 5.901503404)"
202,26071,20190116,,,"(51.983254961, 5.921378561)"
202,26001,20190116,,,"(51.978019622, 5.909759435)"
202,26041,20190116,,,"(51.986100324, 5.907514054)"
202,26001,20190116,,,"(51.984686784, 5.909546898)"
202,26041,20190116,,,"(51.985610876, 5.905779153)"
202,26001,20190116,,,"(51.981744089, 5.900273271)"
202,26021,20190116,,,"(51.985961251, 5.895259221)"
202,26001,20190116,,,"(51.979528038, 5.912588307)"
202,26031,20190116,,,"(51.987047647, 5.90048503)"
202,26061,20190116,,,"(51.985183047, 5.914301163)"
202,26001,20190116,,,"(51.983162919, 5.900347225)"
202,26071,20190116,,,"(51.982084268, 5.916786266)"
715,45320,20190101,,Zone5,"(51.335858665, 3.834297923)"
518,2246,20140102,,HASEBROEKSTR 47 (4843),"(52.052442276, 4.314040741)"
202,26071,20190116,,,"(51.978418011, 5.918118345)"
202,26021,20190116,,,"(51.986847761, 5.895986478)"
202,26082,20190116,,,"(51.977278966, 5.921008165)"
202,26075,20190116,,,"(51.98277967, 5.91501391)"
202,26082,20190116,,,"(51.977092501, 5.919557965)"
1900,51820,20140601,20180301,"Sneek, Prins Hendrikkade. Parkeermeter 0407, ? 1,20 per uur, max. 2 uur","(53.033792742, 5.659302371)"
202,26001,20190116,,,"(51.977240492, 5.911987797)"
1900,51860,20140601,,"Sneek, Julianastraat (pl). Parkeermeter 2203, ? 1,00 per uur, max ? 2,00 per dag","(53.032967996, 5.654887748)"
1900,51823,20140601,,"Sneek, Gedempte Pol. Parkeermeter 0801, ? 1,20 per uur, max. 2 uur","(53.033159352, 5.661989526)"
1900,51827,20140601,,"Sneek, Oud Kerkhof. Parkeermeter 1002, ? 1,20 per uur, max. 2 uur","(53.031558683, 5.657704353)"
1900,51813,20140601,,"Sneek, Normandiaplein. Parkeermeter 0303, ? 1,20 per uur, max. 2 uur","(53.034882018, 5.66629952)"
1900,51835,20140601,,"Sneek, Hoogend. Parkeermeter 1401, ? 1,20 per uur, max. 2 uur","(53.029280188, 5.659839181)"
1900,51866,20140601,,"Sneek. J.W.Frisostraat. Parkeermeter 2701, ? 1,00 per uur, max ? 2,00 per dag","(53.03055526, 5.664509018)"
1900,51837,20140601,,"Sneek, Harinxmakade. Parkeermeter 1501, ? 1,20 per uur, max. 2 uur","(53.029909391, 5.662784857)"
1900,51846,20140601,,"Sneek, Steenklip. Parkeermeter 1801, ? 1,00 per uur, max ? 2,00 per dag","(53.035065781, 5.663734025)"
1900,51826,20140601,,"Sneek, Oud Kerkhof. Parkeermeter 1001, ? 1,20 per uur, max. 2 uur","(53.032050272, 5.657972243)"
1900,51879,20140601,,"Bolsward, Skilwyk,  Pmeter 9306,1e 15min ?0,20, dan per 7min.?0,10.Max1,5uur","(53.062585092, 5.519859113)"
1900,51816,20140601,,"Sneek, Prins Hendrikkade. Parkeermeter 0403, ? 1,20 per uur, max. 2 uur","(53.033700959, 5.662728314)"
1900,51881,20140601,,"Bolsward, Bargefenne Pmeter 9204,1e 15min ?0,20, dan per 7min.?0,10.Max1,5uur","(53.06216385, 5.518440902)"
1900,51831,20140601,20180301,"Sneek, Oude Koemarkt. Parkeermeter 1201, ? 1,20 per uur, max. 2 uur","(53.030460682, 5.659173061)"
202,26071,20190116,,,"(51.982563464, 5.922826167)"
202,26031,20190116,,,"(51.985495551, 5.90356474)"
202,26041,20190116,,,"(51.987726167, 5.907433316)"
202,26041,20190116,,,"(51.985397203, 5.907294215)"
202,26071,20190116,,,"(51.979421742, 5.916036779)"
867,21415,20180530,,Mr van Coothstraat Noord 1,"(51.68991095, 5.062914895)"
855,51466,20130101,20180101,Esdoornstraat,"(51.557139405, 5.074777766)"
867,21401,20180530,,Stationsstraat Zuid 1,"(51.686327135, 5.067442208)"
855,51408,20130101,20180101,Bredaseweg,"(51.555346704, 5.076629155)"
867,21422,20180530,,Hertog Janstraat 1,"(51.691147548, 5.069548579)"
203,34202,20120110,,Burg. Kuntzelaan,"(52.137820811, 5.591052103)"
855,51468,20130101,20180101,Laagstraat,"(51.557369546, 5.076990837)"
867,21416,20180530,,Mr van Coothstraat Noord 2,"(51.689603293, 5.062805857)"
202,26021,20190116,,,"(51.987008935, 5.89538543)"
1900,51818,20140601,,"Sneek, Prins Hendrikkade. Parkeermeter 0405, ? 1,20 per uur, max. 2 uur","(53.033902803, 5.662044132)"
1900,51833,20140601,20180301,"Sneek, Grootzand. Parkeermeter 1301, ? 1,20 per uur, max. 2 uur","(53.030358946, 5.6604993)"
855,51379,20130101,20180101,St. Ceciliastraat,"(51.559155359, 5.074141039)"
